CPT Code,Description
83935,Analysis of osmolality in urine
83937,Measurement of osteocalcin (bone g1a protein)
83945,Measurement of oxalate
83950,Measurement of HER-2/neu oncoprotein
83951,Measurement of des-gamma-carboxy-prothrombin (DCP) oncoprotein
83970,Measurement of parathormone (parathyroid hormone)
83986,Analysis of pH in body fluid
83987,Analysis of pH in exhaled breath condensate
83992,Measurement of phencyclidine (PCP)
83993,Measurement of calprotectin in feces
84030,Measurement of phenylalanine (PKU) in blood
84035,Qualitative analysis of phenylketone
84060,Measurement of total acid phosphatase
84066,Measurement of prostatic acid phosphatase
84075,Measurement of alkaline phosphatase
84078,Measurement of heat stable alkaline phosphatase
84080,Measurement of alkaline phosphatase isoenzymes
84081,Measurement of phosphatidylglycerol
84085,Measurement of red blood cell 6-dehydrogenase phosphogluconate
84087,Measurement of phosphohexose isomerase
84100,Measurement of inorganic phosphorus (phosphate)
84105,Measurement of inorganic phosphorus (phosphate) in urine
84106,Qualitative analysis of porphobilinogen in urine
84110,Measurement of porphobilinogen in urine
84112,Qualitative analysis of placental alpha microglobulin-1 (PAMG-1) in cervicovaginal secretion
84119,Qualitative analysis of porphyrins in urine
84120,Fractionation and measurement of porphyrins in urine
84126,Measurement of porphyrins in feces
84132,Measurement of potassium in plasma
84133,Measurement of potassium in urine
84134,Measurement of prealbumin
84135,Measurement of pregnanediol
84138,Measurement of pregnanetriol
84140,Measurement of pregnenolone
84143,Measurement of 17-hydroxypregnenolone
84144,Measurement of progesterone
84145,Measurement of procalcitonin (PCT)
84146,Measurement of prolactin
84150,Measurement of prostaglandin
84152,Direct measurement of complexed prostate specific antigen (PSA)
84153,Measurement of total prostate specific antigen (PSA)
84154,Measurement of free prostate specific antigen (PSA)
84155,Measurement of total protein in plasma
84156,Measurement of total protein in urine
84157,Measurement of total protein
84160,Measurement of total protein using refractometry
84163,Measurement of pregnancy-associated plasma protein-A (PAPP-A)
84165,Fractionation and measurement of protein in serum using electrophoresis
84166,Fractionation and measurement of protein in concentrated body fluid using electrophoresis
84181,Western blot protein immunoassay on blood
84182,Western blot protein immunological probe for band identification on blood
84202,Measurement of red blood cell protoporphyrin
84203,Screening for red blood cell protoporphyrin
84206,Measurement of proinsulin
84207,Measurement of pyridoxal phosphate (Vitamin B-6)
84210,Measurement of pyruvate
84220,Measurement of pyruvate kinase
84228,Measurement of quinine
84233,Assay for estrogen receptor
84234,Assay for progesterone receptor
84235,Assay for endocrine receptor
84238,Assay for receptor
84244,Measurement of renin activity
84252,Measurement of riboflavin (Vitamin B-2)
84255,Measurement of selenium
84260,Measurement of serotonin
84270,Measurement of sex hormone binding globulin (SHBG)
84275,Measurement of sialic acid
84285,Measurement of silica
84295,Measurement of sodium in plasma
84300,Measurement of sodium in urine
84302,Measurement of sodium
84305,Measurement of somatomedin
84307,Measurement of somatostatin
84311,Spectrophotometry
84315,Measurement of specific gravity
84375,Analysis of sugars using paper chromatography
84376,Qualitative analysis of sugars
84377,Qualitative analysis of sugars
84378,Quantitative analysis of sugars
84379,Quantitative analysis of sugars
84392,Measurement of sulfate in urine
84402,Measurement of free testosterone
84403,Measurement of total testosterone
84410,Measurement of lipoprotein particle numbers and lipoprotein particle subclasses in blood
84425,Measurement of thiamine (Vitamin B-1)
84430,Measurement of thiocyanate
84431,Measurement of thromboxane and metabolite in urine
84432,Measurement of thyroglobulin
84436,Measurement of total thyroxine
84437,Measurement of thyroxine with elution
84439,Measurement of free thyroxine
84442,Measurement of thyroxine binding globulin (TBG)
84443,Measurement of thyroid stimulating hormone (TSH)
84445,Measurement of thyroid stimulating immune globulins (TSI)
84446,Measurement of alpha tocopherol (Vitamin E)
84449,Measurement of transcortin (cortisol binding globulin)
84450,Measurement of aspartate amino transferase (AST) (SGOT)
84460,Measurement of alanine amino transferase (ALT) (SGPT)
84466,Measurement of transferrin
84478,Measurement of triglycerides
84479,Measurement of thyroid hormone binding ratio (THBR)
84480,Measurement of total triiodothyronine (TT-3)
84481,Measurement of free triiodothyronine (T3)
84482,Measurement of reverse triiodothyronine (rT3)
84484,Measurement of troponin
84485,Measurement of trypsin in duodenal fluid
84488,Qualitative analysis of trypsin in feces
84490,Measurement of trypsin in 24-hour collection of feces
84510,Measurement of tyrosine
84512,Qualitative analysis of troponin
84520,Measurement of blood urea nitrogen (BUN)
84525,Semiquantitative analysis of blood urea nitrogen (BUN)
84540,Measurement of urea nitrogen in urine
84545,Measurement of blood urea nitrogen (BUN) clearance
84550,Measurement of uric acid in blood
84560,Measurement of uric acid
84577,Measurement of urobilinogen in feces
84578,Qualitative analysis of urobilinogen in urine
84580,Measurement of urobilinogen in timed urine specimen
84583,Semiquantitative analysis of urobilinogen in urine
84585,Measurement of vanillylmandelic acid (VMA) in urine
84586,Measurement of vasoactive intestinal peptide (VIP)
84588,"Measurement of vasopressin (antidiuretic hormone, ADH)"
84590,Measurement of vitamin A
84591,Measurement of vitamin
84597,Measurement of vitamin K
84600,Measurement of volatile substance
84620,Xylose absorption test on blood
84630,Measurement of zinc
84681,Measurement of C-peptide
84702,Measurement of chorionic gonadotropin (hCG)
84703,Qualitative analysis of chorionic gonadotropin (hCG)
84704,Measurement of free beta chain chorionic gonadotropin (hCG)
84830,Ovulation test for human luteinizing hormone using visual color comparison method
84999,Chemistry procedure
85002,Measurement of bleeding time
85004,Automated differential leukocyte (WBC) count
85007,Estimated leukocyte (WBC) and platelet count by microscopic examination of blood smear with manual differential leukocyte (WBC) count
85008,Estimated leukocyte (WBC) and platelet count by microscopic examination of blood smear
85009,Manual differential leukocyte (WBC) count on buffy coat
85013,Measurement of spun microhematocrit
85014,Measurement of hematocrit (Hct)
85018,Measurement of hemoglobin (Hgb)
85025,Automated complete blood cell count (CBC) with automated differential leukocyte (WBC) count
85027,Automated complete blood cell count
85032,Manual blood cell count
85041,Automated red blood cell (RBC) count
85044,Manual reticulocyte count
85045,Automated reticulocyte count
85046,Automated reticulocyte count with cellular parameter
85048,Automated white blood cell (WBC) count
85049,Automated platelet count
85055,Assay for reticulated platelets
85060,Interpretation of peripheral blood smear
85097,Interpretation of bone marrow smear
85130,Chromogenic substrate assay
85170,Clot retraction study
85175,Whole blood dilution clot lysis time test
85210,Assay for clotting factor II
85220,Assay for clotting factor V (AcG or proaccelerin)
85230,Assay for clotting factor VII
85240,1-stage assay for clotting factor VIII (AHG)
85244,Assay for clotting factor VIII-related antigen
85245,Assay for ristocetin cofactor
85246,Assay for factor VIII antigen
85247,Assay for clotting factor VIII with multimetric analysis
85250,Assay for clotting factor IX (PTC)
85260,Assay for clotting factor X (Stuart-Prower)
85270,Assay for clotting factor XI (PTA)
85280,Assay for clotting factor XII (Hageman)
85290,Assay for clotting factor XIII (fibrin stabilizing)
85291,Solubility screening for clotting factor XIII (fibrin stabilizing)
85292,Assay for prekallikrein (Fletcher factor)
85293,Assay for high molecular weight kininogen (Fitzgerald factor)
85300,Assay for antithrombin III activity
85301,Assay for antithrombin III antigen
85302,Assay for protein C antigen
85303,Assay for protein C activity
85305,Assay for total protein S
85306,Assay for free protein S
85307,Assay for activated protein C (APC) resistance
85335,Factor inhibitor test
85337,Assay for thrombomodulin
85345,Lee and White coagulation time test
85347,Activated coagulation time test
85348,Coagulation time test
85360,Euglobulin lysis time test
85362,Semiquantitative analysis of fibrin degradation products (FDP) (FSP) using agglutination slide method
85366,Analysis of fibrin degradation products (FDP) (FSP) using paracoagulation method
85370,Measurement of fibrin degradation products (FDP) (FSP)
85378,Qualitative analysis of D-dimer fibrin degradation products
85379,Measurement of D-dimer fibrin degradation products
85380,Ultrasensitive qualitative analysis of D-dimer fibrin degradation products
85384,Measurement of fibrinogen activity
85385,Measurement of fibrinogen antigen
85390,Screening for coagulopathy
85396,Coagulation/fibrinolysis assay on whole blood
85397,Analysis of functional activity of coagulation and fibrinolysis
85400,Measurement of plasmin
85410,Measurement of alpha-2 antiplasmin
85415,Measurement of plasminogen activator
85420,Measurement of plasminogen
85421,Antigenic assay of plasminogen
85441,Direct Heinz body stain
85445,Induced Heinz body stain using acetyl phenylhydrazine
85460,Differential lysis stain for fetomaternal hemorrhage
85461,Fetal red cell rosette test for fetomaternal hemorrhage
85475,Acid hemolysin test
85520,Assay for heparin
85525,Heparin neutralization test
85530,Heparin-protamine tolerance test
85536,Iron stain of peripheral blood
85540,Leukocyte alkaline phosphatase test with count
85547,Red blood cell mechanical fragility test
85549,Muramidase test
85555,Red blood cell osmotic fragility test
85557,Incubated red blood cell osmotic fragility test
85576,In vitro platelet aggregation study
85597,Platelet phospholipid neutralization test
85598,Hexagonal phospholipid neutralization test
85610,Prothrombin time test
85611,Diluted prothrombin time test with substitution of plasma fractions
85612,Russell viper venom time test
85613,Diluted Russell viper venom time test
85635,Reptilase test
85651,Erythrocyte sedimentation rate
85652,Automated erythrocyte sedimentation rate
85660,Sickling of red blood cell reduction test
85670,Thrombin time test on plasma
85675,Thrombin time titer
85705,Tissue thromboplastin inhibition test
85730,Partial thromboplastin time test on blood
85732,Partial thromboplastin time test with substitution of plasma fractions
85810,Viscosity test
85999,Hematology and coagulation procedure
86000,Febrile agglutinin test
86001,Quantitative allergen specific immunoglobulin G test
86003,Measurement of allergen-specific immunoglobulin E using crude allergen extract
86005,Qualitative multiallergen screening for allergen-specific immunoglobulin E
86008,Quantitative measurement of allergen-specific immunoglobulin E using purified allergen component
86015,Actin antibody each
86021,Identification of leukocyte antibody
86022,Identification of platelet antibody
86023,Assay for platelet associated immunoglobulin
86036,Anca screen each antibody
86037,Anca titer each antibody
86038,Measurement of antinuclear antibodies (ANA)
86039,Antinuclear antibodies (ANA) titer
86051,Aquaporin-4 antb elisa
86052,Aquaporin-4 antb cba each
86053,Aqaprn-4 antb flo cytmtry ea
86060,Antistreptolysin 0 titer
86063,Screening for Antistreptolysin 0
86077,Evaluation of blood cross match
86078,Investigation of transfusion reaction
86079,Authorization for deviation from standard blood banking procedure
86140,Measurement of C-reactive protein
86141,Measurement of C-reactive protein by high sensitivity assay
86146,Assay for beta 2 Glycoprotein I antibody
86147,Assay for cardiolipin (phospholipid) antibody
86148,Assay for anti-phosphatidylserine (phospholipid) antibody
